1

                                             * * * * * * * * *  L H S  * * * * * * * * *

                                             LATIN HYPERCUBE AND RANDOM SAMPLING PROGRAM

                                             * * * * * * * * * * * * * * * * * * * * * *


    Run on  5/22/19 at 11:56:39.14 with LHS Version: 2.30 Release 1, Compiled May 31, 2001        


0    Pecos::LHSDriver

    Random Seed =      128353

    Number of Variables =   3

    Number of Observations =  240
0   The sample was written to the file: LHS_samples.out
0   Input was read from the file: 
0   The sample input vectors will be printed along with their corresponding ranks.
0   Histograms of the actual sample will be plotted for each input variable.
0   The correlation matrices (raw data and rank correlations) will be printed.
1

    Pecos::LHSDriver                                                                                                             

    VARIABLE  DISTRIBUTION          RANGE            LABEL
0       1     BOUNDED NOR   0.651     TO  0.881                                                        
                           MU =  0.766                   SIGMA =  3.830E-02
0       2     BOUNDED NOR    1.94     TO   2.62                                                        
                           MU =   2.28                   SIGMA =  0.228    
0       3     BOUNDED NOR    0.00     TO   1.91                                                        
                           MU =  0.635                   SIGMA =  0.425    
1Pecos::LHSDriver                                                                                                             
0LATIN HYPERCUBE SAMPLE INPUT VECTORS

 RUN NO. X(1)      X(2)      X(3)
0    1 0.796      2.53     0.350    
0    2 0.739      2.50     0.161    
0    3 0.687      2.48     0.335    
0    4 0.790      2.38      1.20    
0    5 0.818      2.59      1.28    
0    6 0.770      2.44     0.493    
0    7 0.784      2.46      1.19    
0    8 0.702      2.33      1.07    
0    9 0.794      2.13     0.390    
0   10 0.814      2.22     0.768    
0   11 0.735      2.54     0.211    
0   12 0.732      2.26     0.581    
0   13 0.827      2.17     0.724    
0   14 0.759      2.44     0.786    
0   15 0.707      2.25     0.645    
0   16 0.739      2.34     0.179    
0   17 0.786      2.22     0.664    
0   18 0.711      2.34      1.40    
0   19 0.770      2.02     0.808    
0   20 0.679      2.24     0.983    
0   21 0.752      2.48     0.339    
0   22 0.735      2.40     0.685    
0   23 0.811      2.30      1.38    
0   24 0.700      2.15      1.04    
0   25 0.845      2.57      1.31    
0   26 0.772      2.45     0.592    
0   27 0.748      2.18     0.817    
0   28 0.768      2.43     0.607    
0   29 0.776      2.31     0.424    
0   30 0.787      2.48      1.02    
0   31 0.672      1.96     0.790    
0   32 0.731      2.24     0.736    
0   33 0.800      1.98      1.05    
0   34 0.849      2.41     0.596    
0   35 0.721      2.32      1.13    
0   36 0.751      2.49     0.483    
0   37 0.726      2.20     7.506E-02
0   38 0.740      2.58      1.34    
0   39 0.782      2.19      1.02    
0   40 0.792      1.95     0.655    
0   41 0.783      2.32     0.822    
0   42 0.761      2.05     0.374    
0   43 0.765      2.44      1.03    
0   44 0.715      2.13     0.647    
0   45 0.787      2.10     0.140    
0   46 0.790      2.22     0.453    
0   47 0.763      2.30     0.567    
0   48 0.753      2.51      1.29    
0   49 0.812      2.08     0.324    
0   50 0.765      2.47     0.744    
0   51 0.778      2.21     0.409    
0   52 0.805      2.01     0.292    
0   53 0.775      2.13     0.943    
0   54 0.746      2.35     0.704    
0   55 0.830      2.19     0.521    
0   56 0.731      2.21     0.315    
0   57 0.668      2.04     0.716    
0   58 0.825      2.24     0.539    
0   59 0.774      2.22      1.61    
0   60 0.696      2.26     0.916    
0   61 0.742      2.18     0.548    
0   62 0.744      2.36     0.898    
0   63 0.792      2.41      1.11    
