type,rPos,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240
maxNradial,237.6,1.79E+10,1.67E+10,1.71E+10,1.55E+10,1.17E+10,1.40E+10,1.82E+10,1.94E+10,1.52E+10,1.42E+10,2.47E+10,2.36E+10,1.69E+10,1.57E+10,2.51E+10,1.73E+10,2.33E+10,1.48E+10,1.87E+10,1.73E+10,1.78E+10,1.97E+10,2.80E+10,1.30E+10,1.77E+10,2.11E+10,1.23E+10,2.11E+10,2.81E+10,1.76E+10,1.77E+10,1.36E+10,2.47E+10,2.82E+10,2.43E+10,1.55E+10,1.53E+10,1.85E+10,1.68E+10,1.64E+10,2.86E+10,1.23E+10,2.11E+10,1.97E+10,1.61E+10,1.64E+10,2.73E+10,1.69E+10,1.61E+10,1.76E+10,1.86E+10,1.14E+10,2.39E+10,1.95E+10,1.51E+10,1.73E+10,2.29E+10,1.42E+10,1.46E+10,1.82E+10,1.32E+10,1.76E+10,2.07E+10,1.51E+10,1.48E+10,1.40E+10,1.55E+10,1.36E+10,1.93E+10,1.69E+10,1.78E+10,2.14E+10,2.04E+10,3.12E+10,1.37E+10,2.12E+10,1.83E+10,2.71E+10,1.98E+10,2.38E+10,3.31E+10,2.02E+10,2.30E+10,1.47E+10,2.11E+10,1.95E+10,2.63E+10,2.50E+10,1.38E+10,1.72E+10,1.54E+10,2.36E+10,1.86E+10,2.53E+10,2.09E+10,1.88E+10,1.58E+10,2.03E+10,1.61E+10,1.89E+10,1.40E+10,1.42E+10,1.91E+10,1.80E+10,1.99E+10,2.26E+10,2.01E+10,1.63E+10,1.26E+10,1.93E+10,1.29E+10,1.31E+10,1.84E+10,1.44E+10,1.62E+10,2.22E+10,2.03E+10,1.78E+10,2.84E+10,1.61E+10,1.71E+10,3.87E+10,2.12E+10,2.40E+10,1.84E+10,1.74E+10,1.72E+10,2.15E+10,1.72E+10,1.28E+10,1.30E+10,2.67E+10,2.33E+10,1.74E+10,1.72E+10,1.75E+10,2.27E+10,1.69E+10,2.42E+10,1.87E+10,1.72E+10,1.36E+10,2.35E+10,2.30E+10,1.71E+10,1.76E+10,1.64E+10,2.70E+10,1.96E+10,2.32E+10,1.82E+10,1.55E+10,2.19E+10,1.51E+10,1.88E+10,1.41E+10,1.84E+10,2.02E+10,1.93E+10,1.40E+10,2.53E+10,1.65E+10,1.73E+10,1.67E+10,1.93E+10,1.71E+10,2.20E+10,1.41E+10,1.27E+10,2.39E+10,2.21E+10,2.25E+10,2.17E+10,2.05E+10,1.98E+10,2.36E+10,1.93E+10,2.00E+10,2.14E+10,2.09E+10,1.78E+10,1.71E+10,2.05E+10,1.90E+10,1.82E+10,1.16E+10,1.59E+10,1.29E+10,1.80E+10,1.90E+10,1.72E+10,1.60E+10,2.58E+10,1.99E+10,2.58E+10,1.52E+10,2.04E+10,1.45E+10,3.31E+10,1.28E+10,1.57E+10,2.21E+10,1.86E+10,1.86E+10,2.07E+10,2.60E+10,1.95E+10,1.81E+10,2.03E+10,1.74E+10,1.95E+10,1.61E+10,1.66E+10,2.09E+10,3.27E+10,1.41E+10,1.93E+10,2.22E+10,1.35E+10,2.44E+10,1.38E+10,2.38E+10,1.57E+10,1.88E+10,2.08E+10,1.85E+10,1.98E+10,2.51E+10,2.16E+10,2.43E+10,2.18E+10,1.86E+10,1.70E+10,2.07E+10,1.41E+10,2.08E+10,2.15E+10,2.05E+10,2.10E+10,1.47E+10
maxNradial,240.8,9560017400,8836046400,9368169600,7497974900,6506306200,7882279800,9466704900,1.03E+10,8378988200,7982147700,1.40E+10,1.30E+10,9338551500,8643387400,1.32E+10,9945376400,1.19E+10,8247988000,1.10E+10,9019259200,8835829900,1.11E+10,1.60E+10,7072246800,9403723600,1.20E+10,6445930700,1.06E+10,1.59E+10,9697991100,9414317100,7072641200,1.42E+10,1.57E+10,1.18E+10,8324698400,8423744500,1.02E+10,9201786500,8863116500,1.39E+10,7031120400,1.12E+10,1.06E+10,8910610100,8143912500,1.55E+10,9024652000,7866470700,9157933200,9485927600,6026219600,1.29E+10,1.02E+10,7655849800,1.06E+10,1.13E+10,7835435000,7960514800,1.02E+10,6719515000,9505752100,1.11E+10,8171462900,7600423500,7721800300,8375205800,7944864700,1.01E+10,9835557600,9408504100,1.13E+10,1.20E+10,1.32E+10,7469247100,1.11E+10,9020195400,1.60E+10,1.09E+10,1.25E+10,1.56E+10,1.16E+10,1.21E+10,7885483700,1.00E+10,1.00E+10,1.39E+10,1.43E+10,7089957600,9385447500,8753664800,1.24E+10,1.06E+10,1.49E+10,9984673800,9147752600,8080423600,1.12E+10,8563657500,9083882000,7267385800,7210757100,1.04E+10,9836108300,1.09E+10,1.26E+10,1.17E+10,9825529400,6851477100,9563442700,6410317100,6712621500,9995807800,7378365800,7734743900,1.22E+10,1.19E+10,9653830900,1.72E+10,8574342300,1.01E+10,2.15E+10,1.24E+10,1.30E+10,9537448800,9204332700,9706856200,1.10E+10,8840200100,6763005800,7028803100,1.49E+10,1.25E+10,9823952800,9552586300,9895614900,1.19E+10,8953514500,1.28E+10,9676936600,9355978000,6964010800,1.19E+10,1.22E+10,9294110400,1.02E+10,8779351500,1.36E+10,1.13E+10,1.27E+10,9704705800,8069026900,1.18E+10,7964110700,9333002500,7518015200,1.00E+10,1.12E+10,1.13E+10,7353316100,1.43E+10,9023873300,9329215400,8900883600,1.13E+10,8622765100,1.11E+10,7133415700,6930697700,1.36E+10,1.17E+10,1.12E+10,1.24E+10,1.01E+10,9774218700,1.31E+10,1.09E+10,1.08E+10,1.08E+10,1.10E+10,1.02E+10,9093837600,1.09E+10,9628180900,9796154600,6376712300,9315582500,6496864000,9236622400,9420636700,9826778100,9401671600,1.24E+10,1.05E+10,1.40E+10,8283508300,1.21E+10,8005169800,1.80E+10,6552836900,9007243900,1.14E+10,9213257300,1.04E+10,1.15E+10,1.38E+10,1.12E+10,8900638100,1.19E+10,9055294600,9660843900,8050020900,8134783300,1.20E+10,1.79E+10,7494559900,1.05E+10,1.18E+10,7561930600,1.33E+10,6867133200,1.31E+10,8704750800,9682960600,1.03E+10,9672921000,1.11E+10,1.41E+10,1.26E+10,1.23E+10,1.19E+10,1.00E+10,8928216400,1.09E+10,7335330700,1.10E+10,1.12E+10,1.08E+10,1.11E+10,8084059500
maxNradial,244,5372419600,4640113700,5116002400,3778454800,3673944400,4285465600,5311244100,5891897400,4710311200,4705334000,7979447400,6962133700,5274115700,4895594400,7013002000,5842037700,6364940500,4476983800,6263439400,4795228500,4718599400,6331902700,9310972500,3909955200,5049734600,6632802200,3653838400,5605827000,8729995300,5642429600,5166710700,3943767500,8290483800,9100588000,6009788800,4820734200,4766124900,5693992700,5531647000,4592500700,7108143000,4191344200,5508496800,5999574200,4958920100,4375034000,8604429100,5118746600,4061111800,4792078000,4824834000,3333048700,7257486200,5438123200,3793996500,6481427300,5740430400,4487856100,4231002800,5837475000,3434789600,5218165500,5813196200,4706884800,4102222600,4274401600,4600517300,4747561500,5380466900,5969791500,4912185600,6114853500,6952425300,6221140200,3995649300,5857626000,4653148000,9321475200,5905672300,6974246800,8744311700,6720370800,6338808300,4417195000,5279700600,5198799800,7489499800,7993214900,3692350400,5274485600,4923704500,6435163800,6204417800,8513492000,5128142000,4471573600,4041971700,6352883400,4702038200,4429481500,3685645400,3811480200,5731760300,5378076300,5748743400,7271061200,6551458000,5420162400,3777792100,4934157000,3460909100,3393738200,5549690500,3869585800,3888476200,6460610000,6973305300,5321388900,1.09E+10,4894164800,6078919800,1.22E+10,7507116100,6995420800,5260961700,4805941100,5210873400,5648920400,4468350400,3697305700,4036980800,8161448200,7072129900,5688200500,5582259400,5627824400,6420347200,5039199500,6499456100,5600882700,5196835800,3868958700,6305440500,6578745300,5062851100,6229171900,4615035500,6881043200,6270126400,6877290800,5438275000,4779231200,6486316200,4200748100,4815994500,4059507300,5381933300,6347867500,6402081500,3979669900,8555331600,4827885900,4895985000,4773593700,6895301000,4817280100,5979642100,3805138500,3984199800,7253564400,6213575500,5726540000,6899353400,5248034100,5124666800,7787280500,6441107100,6158309100,5762760200,6076030900,5733955100,4875957900,5940270700,5010334700,5339511800,3537832000,5440774400,3388164100,4975177300,4944111800,6069951900,5669078400,6230247800,5472275500,7534925200,4403808400,6945190000,4604092700,1.02E+10,3379283100,5092417800,6248210400,4932088200,5720315600,6383413700,7703927700,6839827100,4946885700,7032063200,4819761200,4777841300,4131697300,4312795000,7096132800,1.01E+10,3961633300,5701460000,6378798200,4268346700,7121023500,3542131300,7206567700,4770065500,5441253700,5412186500,5144122400,6236848300,8221681800,7947932200,6524145900,6500700000,5522973900,4861455300,5931914400,3928973400,5578394700,5991323200,5470518000,5712452200,4514214500
maxNradial,247.2,3034774600,2576089900,2903708200,1939006500,2125325800,2449497500,3118205700,3195184700,2838163600,2719994700,4470287300,3861706500,3032334200,2789316800,3843004800,3556042200,3397294600,2592415700,3515019400,2522919400,2556850500,3790048600,5316445500,2100242400,2667817700,3840807100,2023067300,2839942400,4907338100,3181399000,2688255200,2296062100,5031016500,5249126800,3192280900,2668361500,2629603900,3323169300,3251508000,2445561100,3524278600,2582145000,2748335300,3639182300,2871795400,2367858900,4654572200,2857846300,2126329500,2610338000,2571900400,1922540200,4174631600,2973415200,1939279400,3959492800,3043367000,2489538100,2606612200,3488586800,1827504100,2814460900,3211343400,2792378800,2182363800,2401695500,2570164800,2762959700,3065221200,3592520900,2655399200,3192947500,4260015600,3033295800,2293476300,3297440200,2500140100,5278033900,3404945100,4038934600,5150726500,3805670500,3351993500,2550857500,2812945000,2827585700,4168024700,4592296000,1943091400,3214769500,2884424500,3512086300,3713824500,5052887800,2603152600,2339106100,2150554500,3656668800,2671219400,2294821700,1923214700,2123918100,3184173500,3123993800,3286961900,4135296200,3803770500,3333140900,2149801500,2703712900,1849156900,1894606400,3095134500,2144289100,2015588800,3476719200,4309355100,2881516300,6928567000,2743499100,3590290600,7207807200,4504339600,3821934600,2905745800,2689637500,3089836400,2963768900,2358944700,1973258800,2406900100,4790482400,3984094900,3111180700,3200952700,3253445800,3480561400,2896826700,3356854800,3254503600,2870110800,2113127600,3284859400,3643464100,2860269300,3809032200,2435124200,3636148900,3466424100,3653245700,3049607600,2729230100,3697290800,2260914300,2581233100,2240418500,2929991000,3699563300,3638322300,2188971900,4912346200,2751024300,2690548300,2668636400,4165311500,2733954100,3061614700,2023645400,2385651900,3818750500,3352631600,2916529100,3959160600,2724701800,2753155200,4620634100,3978523200,3665596700,3077282200,3497493700,3489779300,2817459500,3407561200,2735276800,2990890200,2121715800,3143143200,1829889400,2795306100,2591996000,3678158000,3397628000,3123433000,2906957900,4134278100,2409430300,4168992900,2638879000,5919071300,1865154000,3170877400,3383359000,2550461300,3161918200,3652876200,4438041000,4210447400,2675642300,4076494300,2633906400,2594710700,2220212800,2197608600,4104532100,5974364600,2196553600,3134453100,3549671200,2484761900,3996319400,1845347600,4067715900,2762281700,3012150400,2975669100,2906798700,3760125400,4703542000,4719965800,3619587300,3503833900,3134272300,2650074500,3252800900,2044402200,2992267400,3199783500,2900344400,3197476500,2590830700
maxNradial,250.4,1784310000,1412113700,1703446700,1035461600,1293160700,1407771300,1768199200,1894445100,1668322100,1652279200,2586904500,2114783500,1756740700,1617402500,2243492600,2190388500,1856553200,1509639100,2132046300,1386813500,1374481200,2297599300,3164995600,1236891300,1462028600,2313215500,1168215900,1593825500,2908430000,1963742100,1527219300,1281679500,3004550000,3147978600,1802546500,1477655700,1609957600,1888572300,1889698600,1350396700,1892952900,1672370500,1351322000,2088334800,1688599500,1263593600,2618602100,1546633900,1102479600,1434088000,1352036600,1163062700,2417840000,1696348000,1067639300,2439444600,1638601200,1485853300,1490900900,2043957900,1015239600,1714938600,1856831200,1761128400,1173310800,1404359200,1448752000,1685550300,1710317400,2194106300,1446607300,1728094100,2694752200,1511299700,1353545500,1783539100,1361420500,3065026800,2039996000,2372932900,3095385100,2280423700,1809733300,1438047000,1511097300,1524476800,2301276800,2875630500,1040045900,1877400800,1686635800,1994415200,2200799000,2969782400,1428405400,1240334400,1254556800,2063326300,1551974500,1237508600,1026079700,1205039500,1753135600,1787161800,1924122800,2341403000,2187940300,2029224700,1210408200,1579250700,973309930,1023257600,1757154900,1139704300,1146896900,1909496100,2467947800,1605635700,4498180000,1580122000,2110986100,4525591400,2783073000,2136544300,1619093100,1506643600,1831928700,1567356500,1272971500,1082690200,1368015000,2695961000,2318217400,1908922400,1918327000,1918311900,1909940900,1674089800,1813369300,1885713200,1629424800,1272039100,1819286200,2023372400,1643342000,2238879900,1469271900,1916722300,1955823200,2055523500,1764959600,1512490600,2015707900,1286125900,1320742200,1236710300,1634907600,2187246100,2206563400,1187413900,3034979200,1574258900,1495764700,1518624600,2641260400,1527015800,1721519300,1144638500,1425438900,2233364400,1830446200,1468784300,2332090300,1470798400,1483775700,2712971200,2324171000,2157980500,1727104700,2025451400,1993340600,1690989300,1990856000,1415280000,1674134000,1213011300,2001926300,1015630700,1489891100,1399975300,2266298200,2015373900,1668976900,1608500700,2284166500,1367574400,2598575400,1494227600,3528374000,1053544500,1862393600,1832514000,1401140800,1820389500,2151859700,2450240300,2556715900,1490820600,2652786600,1502943000,1344761200,1185786000,1158928100,2446632300,3492356900,1234192900,1733066700,1998131600,1449906300,2198524300,994150790,2316394100,1689527100,1716009000,1642283000,1605634500,2138428100,2875350700,2871402500,2061497200,2058626500,1746996800,1513531200,1795852800,1141723400,1611056000,1809406100,1595106300,1776227400,1476878600
maxNradial,253.6,1079503600,821682870,929401090,569286770,774642710,826221350,994527610,1027854200,980863640,1012857400,1608110000,1246306600,1055744000,959697110,1321417600,1285962100,1019347800,889299620,1247592200,802117900,738703980,1348618800,1877271200,696678100,819961880,1384353300,715322120,901182780,1763668700,1194078800,876095280,730661440,1855389100,1937915300,992181250,882466760,953936240,1046528400,1195962200,729377910,1020781900,1090150300,763634840,1209906900,1004963400,736738240,1550410500,858012290,600401160,805806440,795804290,683688900,1425830500,953684650,595300480,1531833400,880461520,901553830,852567730,1228155200,566375330,980360790,1042746600,1051698800,643191950,805261510,820434480,1072625300,955193030,1395809100,806881550,947527040,1675738500,751544550,802622710,1035829200,751095250,1930589700,1204635200,1421121500,1783908700,1370268100,1049191100,830304030,888273250,858322160,1194205600,1722340600,592157240,1139664900,1044898800,1149944600,1402017000,1812186300,772749330,697703440,706325120,1268315500,923644810,675716330,614641170,678813070,1032213000,1018753300,1093582800,1408726000,1336127200,1246823500,711483580,888785190,560230820,571416810,1000633700,656638930,610719520,1079418600,1446451300,911360380,2923083900,989691860,1300740800,2662923900,1666054700,1238514100,946900870,853531290,1129316600,882039070,710448350,637071560,801824810,1559982500,1331767800,1159896800,1173456300,1124270700,1032887200,976212260,999983470,1088164800,958643430,710531980,1047806600,1173028600,975998820,1382932400,831624930,1044965100,1125418500,1136626300,1043307500,890447910,1222330800,746511710,715695030,700039970,909146630,1279600000,1323585300,682056690,1844896700,898666620,844911770,871730790,1601444500,877512470,968861050,625792300,833013880,1259580400,1048499600,785809420,1423398500,858922660,805416340,1572215900,1357661000,1298576300,946998000,1112013000,1176847400,951190390,1199294000,780557690,950517860,685590290,1226590800,578571820,847288330,765109740,1440746700,1265675600,841865150,879458710,1356254900,830629410,1513128300,855485450,2119473000,602243320,1091654300,1032330500,789871450,1025946900,1258286800,1350754000,1534080300,869313030,1582568500,903907500,735585170,661964230,666373320,1506959700,2065471400,678331230,1013126300,1129505600,881121010,1287166900,558011490,1358826400,951810280,985345910,899364070,880828250,1318661400,1753052300,1792749800,1176776700,1214178000,998121620,865403630,1030527800,697319400,938474960,1041336400,945260580,1021789000,883422630
maxNradial,256.8,610404310,486965680,570488630,341711160,474863370,492407260,577084890,621685740,575598930,646448010,962531270,755570690,661591810,554914230,803057350,783206890,608116160,535846030,793895160,482564680,433139220,822134070,1148793100,423554690,474056890,863380180,422093880,518477490,1077538800,753416300,537953380,448047760,1130593000,1226588100,546979430,525748420,600497620,633866110,751153630,423025200,563212240,663720660,462829490,748359350,589666110,418461450,925102760,529150530,343914100,479713720,466294170,416188110,842202830,573552190,352008210,990034350,498967080,504662930,485909310,761089030,322062330,585057550,601779160,666706460,354367110,478999830,479565520,648171140,565665460,857511890,479412180,563491060,1032545100,408587820,472183320,604621400,446921250,1176097500,692432700,855518030,1113849800,823104360,598328670,476332230,523124390,488932550,748417870,1074550600,346569180,676963010,613952710,659681420,856637120,1127123700,417484610,412525170,407329300,765497110,551494870,374071560,345990460,400457140,576160220,615959480,649170190,834038470,804858180,790132190,399990280,526854090,331011920,305016760,575720820,372883790,364221390,654961700,880147040,555378100,1775426600,599478220,814964870,1666931700,1105908700,717882080,559767080,488239130,711860550,484651620,414749130,347828220,505527050,966012530,879576770,704953250,693219980,706755590,598727480,588825660,569093090,634029110,572358150,436832770,617257980,708282090,605697390,856087100,461889530,590319530,704317610,678983720,653431760,542957020,728157960,442460920,394038730,401161380,540871380,769092810,808105770,419776850,1163011400,543950870,491344280,521519410,1006810900,509757410,572031000,346570850,495713040,760911870,636126210,433047090,888151280,503090670,466428650,991428930,834888170,751045170,526037570,653439130,715461020,556355510,729648400,448756910,561284450,440068070,769196970,338348170,514658170,441069480,835683680,808663260,470807500,514120980,813284330,503309970,989495100,527814580,1299779000,362659230,666493360,572882690,457250250,622249670,808664560,779799700,1030258900,501258470,979605060,501494230,402384230,377886100,374437030,934573280,1330972100,390992920,595689890,696720830,558212860,743651560,331137250,844828060,577222890,594626790,534310500,523557750,820459680,1115355700,1088919600,689316280,707705240,576695090,503180280,578886990,400380730,511820580,641222380,539279950,625779280,503859930
maxNradial,260,378530220,277936490,336318450,208708300,306824800,297549690,390427990,380710060,373981640,415590170,582353830,454483970,406731290,343657530,452650700,534550880,352605630,330778940,496822960,276876350,243839760,528909470,723686990,246633710,278868320,542615460,255349860,299162950,645899640,490107220,325264880,280691020,757385540,777501220,346156080,318123440,374671160,395755670,475235590,262293900,317767220,421014090,269560560,448322960,386883040,253591060,566622840,351565800,208890630,285714320,266761490,252763630,527856290,347063080,204576470,650306350,307849150,323258570,292774150,485523780,183762630,345015610,367018210,415217390,217317720,276116740,314808070,435798470,350517420,552866500,277418800,358628370,667380190,238806600,298426270,362776780,268156890,771254900,415820740,506815280,703430620,566864480,357778630,302780840,319564710,294033760,453988290,660756850,216322490,415966720,394279730,383248180,510737930,727112990,261677850,250369490,231646820,501518520,324178540,221396590,206555720,241795830,357175890,382720780,383004300,489302360,520914170,508445060,249649140,315171650,203351240,184397040,353663930,232856900,216483630,382753980,536252890,351536350,1181579500,364983260,537305860,1005577800,706483310,398879140,325550500,293278330,450813740,267585950,229072390,216137030,331125610,562181690,530888730,422007660,421426400,433488110,352899530,356237100,324571340,382858730,362944650,270163850,350015350,420765520,362746170,548340220,293063160,338723140,444473710,412667410,394847490,327200650,459244820,258042510,235272410,236201570,329924810,482852080,473145480,259087820,702845300,351275440,292169030,315719230,658439670,331308540,345407630,215358560,311559540,464433440,400414540,248167400,570376460,303492950,278442140,634607010,551996560,455908960,301098080,386927820,465675480,344951810,445606660,273490100,331376400,272424110,462226130,212067550,330997120,258633290,526589510,513239950,269212510,301838300,481195560,310962250,635127120,323090740,767652680,228239330,429533290,354623620,261487320,398552930,504418060,504002660,682817280,283995760,633695660,307662190,249582790,231202230,227901900,608892540,807892220,231705080,363547460,425419490,352228000,439354140,193318770,521038520,359938420,366543770,337709810,326564720,493020300,699919290,724509270,419393030,437194380,361339440,314882220,330810190,249964050,319379050,385957960,323239120,377886980,326348460
maxNradial,263.2,242019850,172673780,209833420,127014600,195062540,193527670,235354490,245603160,239983890,267708170,375231460,282084340,253784730,215986560,285586400,339171690,226433360,201971760,316790890,164684150,149936660,324344330,500551600,146252070,189745760,353200590,165954120,190929060,424703930,288781930,198391790,182010390,505048610,519304160,197874760,202238800,254311690,230734950,296945020,154780810,197632890,273330200,156896770,277375130,235964150,153143140,344357300,243004170,127232770,161595110,165228880,165342780,331783640,219106900,122576720,444627980,191079070,216198800,193405340,303675070,116179890,197788190,224442930,251649090,137992620,183964560,194131250,279203060,213677590,364136420,159086680,215040350,431476010,138186770,193800350,231819460,156797340,500147200,259761330,308358760,422694670,365230800,220265610,182906860,191249310,181767710,266253380,442957470,131371580,277122620,257540050,238771630,323291750,473774480,159607190,148732420,144008480,315254830,218178440,129160190,139431560,149797980,212638790,243123640,254704500,307594730,298678620,346231300,163368750,194158500,119600190,106263040,226440770,144075860,127021750,244283120,356973460,221245850,804111430,235676650,345603190,663551470,453097320,275199600,204944250,182734910,283214900,158810290,130133940,135922890,224477390,367289070,325155650,274161780,274418110,280150480,202329810,225078740,193191540,236432580,215733820,160875730,219849810,268012730,216618730,345500630,174674960,216231220,285604890,253683430,253094210,197996980,297897350,161381370,137686820,148968610,198183610,294458230,298708350,168157460,468111160,214283200,180524360,199325360,430442570,195445790,222009230,141322620,199963510,273692140,241719210,150171340,372093040,191867850,163691630,416451890,348035570,299425670,177941950,237938970,300574590,211321650,280052780,170513130,215186460,174759060,314457470,137778920,199230030,149459240,354163230,342960290,176489210,177101680,303399840,191191720,420110540,200971990,498733720,140481510,274348900,208268570,153405120,239027800,314468290,355152970,458700100,185240820,446141350,191573050,152061300,134822450,138930690,407016800,518941390,148148740,220084250,275506610,224082990,270219450,121712460,345556060,240208500,227509830,201330840,205193700,327705470,443574710,472640230,269028870,278093250,228111360,206130880,215438120,151646390,196863320,220657680,199066730,241948450,205787960
maxNradial,266.4,155305390,108967410,137614740,82173295,122827590,130505290,163252890,154898640,162085160,181360560,225995200,183980410,152812530,143037750,188704100,214570800,142982270,139446520,200124750,98434654,94120216,206015220,323351640,88284583,111510470,231555680,106519160,119370070,269072970,186016230,125044340,119525150,328237300,335264210,121399180,132427540,167855180,147663520,190652480,93576716,131472130,182622820,93964790,175092650,157174730,106531840,228880590,159234180,78242157,114564590,108952880,108139310,212712410,140052750,81158333,284073620,120711160,135134070,122323120,201325370,71236047,134529280,150593930,172121230,90368040,129944830,128444290,181574870,132984290,245591610,107344060,140376280,276302980,78382947,119243030,140554450,96007561,322237680,173621190,202592040,285097460,238527160,140174700,113424490,120296850,118543340,165295750,265824600,77912921,193801370,178830930,153464650,202217840,324647390,99583119,98767860,94507696,208069550,130539660,77309925,84617018,99770515,131385230,150821370,157710700,198254770,192956370,242097910,105946180,124136320,77789689,72356964,149191840,86946678,81220326,150245250,224619690,139686390,547280630,152786630,223095000,436817010,299127290,181891030,135517350,106710140,192890450,101798810,81162215,87951868,134166230,225654450,217961000,182558320,180783620,172422320,125092820,146256450,126493870,163660450,139220160,106980030,144740730,168241650,141230960,225297500,119593800,128180390,180226860,161747550,168691130,123161210,196641260,108516770,84127778,92998196,127507230,198389870,195469770,106741780,309407700,134111030,113968960,133477140,277741750,125038290,143771110,86991414,123651670,171491170,150959800,92377194,240715480,121206310,101505970,255851240,222270960,199836470,114704860,160485440,188631510,141854590,187643570,103465320,131535470,120334010,216237250,79693712,121908870,96329249,244751940,215535910,114902750,120539840,195098710,119900880,282507340,148770830,322386030,92330166,176617740,137738820,94882922,147995930,216082440,215030600,302740560,108687030,310685880,123264810,95081291,81124531,85526750,269614340,327114220,95687675,148893690,162840640,144280980,194795920,77220828,209761020,157223010,145521990,132280120,123763940,208197910,276626850,305583800,160943960,163697450,145455110,121818610,132659060,99577267,133634070,142918020,129229040,144291890,132039060
