type,rPos,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxNradial,237.6,3.10E+10,2.36E+10,1.75E+10,1.40E+10,1.09E+10,3.03E+10,2.35E+10,1.84E+10,1.41E+10,1.12E+10,2.93E+10,2.44E+10,1.76E+10,1.37E+10,1.13E+10,2.98E+10,2.17E+10,1.68E+10,1.38E+10,1.08E+10,2.74E+10,2.14E+10,1.68E+10,1.26E+10,1.01E+10,3.16E+10,2.49E+10,1.95E+10,1.41E+10,1.17E+10,3.00E+10,2.51E+10,1.82E+10,1.35E+10,1.09E+10,2.93E+10,2.50E+10,1.91E+10,1.50E+10,1.10E+10,3.00E+10,2.36E+10,1.74E+10,1.45E+10,1.08E+10,2.86E+10,2.21E+10,1.82E+10,1.40E+10,1.11E+10,3.02E+10,2.63E+10,1.97E+10,1.57E+10,1.17E+10,3.21E+10,2.45E+10,1.89E+10,1.50E+10,1.14E+10,3.23E+10,2.34E+10,1.83E+10,1.43E+10,1.20E+10,3.00E+10,2.52E+10,1.88E+10,1.49E+10,1.17E+10,3.00E+10,2.22E+10,2.00E+10,1.47E+10,1.11E+10,3.42E+10,2.52E+10,2.07E+10,1.45E+10,1.20E+10,3.02E+10,2.59E+10,2.00E+10,1.61E+10,1.16E+10,3.42E+10,2.53E+10,2.05E+10,1.55E+10,1.25E+10,3.20E+10,2.47E+10,1.92E+10,1.56E+10,1.18E+10,3.41E+10,2.67E+10,1.85E+10,1.51E+10,1.16E+10,3.67E+10,2.69E+10,2.12E+10,1.62E+10,1.25E+10,3.56E+10,2.76E+10,2.08E+10,1.70E+10,1.26E+10,3.79E+10,2.68E+10,2.06E+10,1.55E+10,1.26E+10,3.36E+10,2.58E+10,1.99E+10,1.63E+10,1.30E+10,3.38E+10,2.75E+10,2.03E+10,1.63E+10,1.27E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxNradial,240.8,1.68E+10,1.35E+10,1.01E+10,8.27E+09,6.47E+09,1.63E+10,1.29E+10,1.03E+10,8.15E+09,6.30E+09,1.56E+10,1.31E+10,9.78E+09,7.39E+09,6.08E+09,1.62E+10,1.12E+10,8.25E+09,7.04E+09,5.69E+09,1.34E+10,1.08E+10,8.40E+09,6.45E+09,4927865700,1.80E+10,1.41E+10,1.07E+10,8.03E+09,6.34E+09,1.71E+10,1.39E+10,1.07E+10,7.52E+09,6.12E+09,1.61E+10,1.32E+10,9.98E+09,7.97E+09,5.57E+09,1.58E+10,1.19E+10,9.30E+09,7.42E+09,5.51E+09,1.46E+10,1.11E+10,8.65E+09,6.83E+09,5.53E+09,1.73E+10,1.53E+10,1.12E+10,8.87E+09,6.83E+09,1.81E+10,1.34E+10,1.04E+10,8.65E+09,6.33E+09,1.67E+10,1.24E+10,9.94E+09,7.92E+09,6.27E+09,1.51E+10,1.32E+10,9.70E+09,7.66E+09,6.04E+09,1.48E+10,1.10E+10,9.63E+09,7.44E+09,5.65E+09,1.89E+10,1.47E+10,1.17E+10,8.46E+09,6.97E+09,1.70E+10,1.44E+10,1.08E+10,8.83E+09,6448210600,1.86E+10,1.34E+10,1.11E+10,8.31E+09,6.75E+09,1.66E+10,1.28E+10,9.85E+09,7.82E+09,6.17E+09,1.64E+10,1.23E+10,9.18E+09,7.77E+09,5.92E+09,2.06E+10,1.55E+10,1.21E+10,9.08E+09,7.16E+09,1.89E+10,1.52E+10,1.17E+10,9.70E+09,7.08E+09,1.98E+10,1.44E+10,1.06E+10,8.71E+09,6548584700,1.81E+10,1.39E+10,1.06E+10,8335151800,6476637700,1.69E+10,1.32E+10,9957072700,7989667600,6106381900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxNradial,244,1.00E+10,8.02E+09,6.09E+09,4.84E+09,3837311800,9780995800,7.25E+09,5.94E+09,4778033700,3524046100,8591396200,7.15E+09,5.32E+09,3967911400,3419204600,8360715800,5.87E+09,4.45E+09,3631440500,2939277500,6865007100,5.59E+09,4.25E+09,3440103100,2562250700,1.04E+10,8.43E+09,6.44E+09,4808435800,3794804000,9556424900,7.58E+09,6001233200,4362997100,3.54E+09,8.78E+09,6989633000,5477379900,4288502500,3.12E+09,8164723600,6233283900,4882347000,3.70E+09,3.05E+09,7189814600,5424075100,4561692300,3.53E+09,2.78E+09,1.05E+10,9105228100,6579029200,5.14E+09,4.13E+09,1.04E+10,7647898000,5995740000,4.95E+09,3667556800,8739967100,6720284600,5.55E+09,4.51E+09,3538646300,8010567000,7042150000,5.04E+09,4.02E+09,3258849100,7461095400,5816642900,4.77E+09,3.86E+09,2933141400,1.15E+10,8603017800,6.76E+09,5.13E+09,4014403300,9.59E+09,8.35E+09,6.07E+09,4924187000,3645696700,9.86E+09,7.36E+09,6131344800,4462030300,3730475200,8.38E+09,6.68E+09,5060575600,4161626500,3238193000,8.13E+09,6.14E+09,4671191500,3.98E+09,2.96E+09,1.18E+10,8566818400,7336277600,5.39E+09,4167267900,1.02E+10,8281321800,6.71E+09,5.38E+09,4.06E+09,1.05E+10,7837622600,5.73E+09,4.67E+09,3654017900,9203966500,7087019200,5529291500,4283620900,3312622400,8538419500,6602069100,4990045900,4193218000,3066266700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxNradial,247.2,6179159600,4.85E+09,3757911000,2967988100,2329407700,5595144100,4179568600,3497073800,2863546900,2115668000,4941457000,3959782700,3121752900,2359869000,1848087400,4437040600,3178726300,2389787900,1983758000,1705862200,3561918600,2803951200,2237104700,1766627900,1338103700,6.05E+09,5138662300,3869011600,2924169400,2276803100,5749963200,4408216800,3584177100,2537565000,2046209600,4895366600,4034427700,3037930700,2339487900,1754489300,4392725200,3264435300,2632030900,2014241400,1671221200,3743136200,2870304800,2421036000,1.88E+09,1505138700,6319805400,5404708000,3965485900,3.12E+09,2474449000,5977376400,4540100500,3565332800,2786189700,2154338800,4886742900,3765362900,3168897800,2382623300,1995955300,4365510500,3795671100,2708565500,2089678400,1804058700,3905655600,2944882900,2.48E+09,2019181800,1484175900,6808952900,5200262300,4108253800,3072215700,2442452700,5498520300,4835846000,3493673600,2883480400,2190784000,5336077100,4179078400,3240470500,2472933200,2082716600,4439452700,3450040500,2626465700,2162090600,1747138600,4.08E+09,3160904900,2487833000,2.00E+09,1489336700,6967194000,5382271600,4326822200,3.29E+09,2607756600,5899041700,4538970000,3987777700,3015947400,2340216500,5657472300,4283721100,3214627600,2610725200,2059070400,4943706200,3706455200,2907494500,2217088800,1819462500,4261983100,3255724700,2508153900,2162398000,1587612000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxNradial,250.4,3775173900,2786099000,2336197400,1826635000,1419939500,3434853100,2523798500,2021029600,1620954400,1312341700,2806630500,2249456400,1790853100,1358346800,1080318700,2476284200,1748432300,1386861800,1089448400,959541500,1912298400,1566787900,1204249000,965128810,714840900,3737447600,3137657400,2359641600,1854437900,1383235000,3397036600,2529470300,2117402700,1545265900,1262169600,2773013800,2306976600,1730124700,1295626600,1054519800,2389229300,1767695000,1471617200,1167639700,925635380,1986130100,1518224200,1360205700,1036780200,800761770,3803959800,3184835300,2327893000,1842884100,1475357400,3504121700,2643037900,2053811400,1683601500,1272314000,2809845800,2102366800,1847642800,1342313300,1117147000,2368342000,2029029300,1495422500,1121281600,974234430,1947117800,1502017300,1315091600,1109637100,804476360,4048789800,3175869700,2446120900,1918689900,1524577700,3264759300,2900834800,2044030900,1711880400,1337371300,3041548100,2352936700,1897866500,1388155400,1165002700,2453919600,1896624900,1430146100,1181912500,920703550,2147193000,1665571200,1272336000,1083902300,795145410,4356228900,3311680500,2516172300,1984201200,1551318600,3502146100,2640510100,2249670400,1708536800,1342871000,3036841200,2334405500,1819410300,1421552400,1198554000,2593887800,2008964900,1550448800,1225550500,1020771000,2140249300,1732794100,1341423100,1165116900,887729980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxNradial,253.6,2385793100,1726796000,1436715600,1136838200,899344440,2125171200,1532295500,1225190700,1033426000,775116960,1645201200,1328398000,1046338700,797844470,639657250,1407562300,1008187300,797510270,620013440,521249520,1103356700,878757450,657690590,547617340,412736230,2380899900,1967419000,1487314200,1168386000,882200810,2003323200,1581765800,1287998100,922058350,774589510,1598161500,1263861100,1024240300,751816230,600466980,1339702800,996786720,831654840,658917480,494461740,1095747800,826538680,713736980,551309270,467385090,2328285100,1945773900,1439711600,1157652900,905801520,1949333400,1583715500,1221119100,1004831400,744418750,1655321000,1292298400,1099350300,769900500,659448330,1355144700,1114537200,855990660,625654150,549335870,1111848000,837275300,711038760,597348140,451578540,2522591700,1921695400,1476466100,1211526000,908276450,1969914700,1689980200,1280365200,998905580,775149920,1817723700,1340186800,1083403200,816184920,666716520,1340358300,1052038600,769150480,674150460,524333560,1148102900,884028460,678132000,613565340,437252040,2613861800,1989955500,1503219200,1171790300,958431660,2063924300,1608474100,1363791600,997873100,800971060,1717222900,1316688900,1050863900,808733380,677575740,1394382100,1087588300,805112650,649495880,553503380,1131620900,930324050,738287920,637874450,488887070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxNradial,256.8,1481883000,1094635800,935495350,713965080,597568950,1260717100,943975450,804158570,565058150,470279630,956451990,838217630,621583340,501200480,371425820,765993730,572271820,462384480,357351720,305791880,620512820,487927460,371340340,330443910,246421790,1481996400,1195158100,924845680,671246020,563039450,1228248200,992422350,806490300,562838420,487883720,939981380,747855630,616560380,456083030,383205530,728922730,582069330,488563740,405330940,272745650,618680630,459666500,389911640,317488380,271784250,1468650700,1217053900,925773710,714276590,562093480,1231322200,1001363100,716846430,609534620,464959120,980120040,713940320,630188010,491285610,382799180,721068250,644533570,500399280,364590060,338165370,608197860,488597020,399701010,346003120,262796100,1629633600,1162924600,909922870,755837870,556528390,1099901800,991597500,789645820,596544340,457162740,1038888100,825509340,639875260,482238040,406901970,740830290,608734070,460869840,416771380,286402350,611528670,530382760,373764940,330688050,261852400,1613029500,1224084300,891306010,733261670,574745960,1246504000,1037568000,839114540,593502480,508795550,1046140100,754515370,605259370,484574780,382046910,777631970,610047030,451558650,376232790,307082890,627873370,501122530,432299480,357619900,280082670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxNradial,260,976416490,695385590,589773860,450301640,392942840,774004200,587543810,495481190,381071520,312784780,545138890,498448290,376970350,322218830,228005480,471897580,347428030,283004820,212441190,188610490,346525010,296305460,224910120,192008540,144194330,931422690,778796830,599950490,440729310,385371000,765789620,609553330,502050900,351106980,308927180,570941820,466413530,377951190,281637960,229531020,448372570,352750710,297241380,249197130,172702420,364975880,269306460,232555100,185861840,156079360,918137030,756835810,602023270,448411960,356638760,804142790,627588690,457532900,358907850,299480460,597190950,459653000,372684020,284457590,246475610,430534770,387823590,279363870,219374600,207068090,354719250,280693860,224806440,208810740,159133430,1007353700,745182470,556873090,472536410,366925600,708971170,602021900,481308540,379874460,295811380,605338010,487140740,384104760,298311150,237733740,440504370,349327360,273269140,241148280,180693210,360696140,297614350,220965390,193208750,149427500,1017407300,768415690,586665460,468238520,370264950,771102760,621847560,501093620,370496780,326401510,626442700,465077620,368194190,293916330,234275780,448745000,366314170,256574330,207989520,194587580,368219030,290460500,244947360,201052430,157835230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxNradial,263.2,642911670,468941160,404878370,291172680,253370250,477993630,382083140,320166980,238099530,194739600,330301140,314680940,232908080,201967170,144602660,292618260,220703060,174011650,128357470,116294580,208307230,179283200,137229700,117606670,89656805,600856440,509567110,386685660,285268810,244260810,497354660,391323920,347789780,239551000,202359110,359719630,293545980,243289180,179028590,143846580,279269170,226588940,189756830,150788580,108764870,214315560,163522440,139100230,121784810,96977493,591320940,477016930,390364430,301677400,230600170,485980510,395016720,305832880,238798810,186594740,376906780,280198710,222081090,184739100,167506850,258011780,215248600,168425410,132102830,132086540,212431240,166046960,134742430,131252830,97456448,628101810,486149300,372892600,300080210,227343520,449241600,376849620,302065400,247716420,187252220,367742690,300469670,241940310,185774180,146976790,257944240,217242150,167187400,148950860,106589030,221884320,184043200,142324710,117590080,88280087,611832140,483835250,390324610,293742530,249725700,472268170,397620150,310254180,245126350,195330910,396766450,304907470,230497680,178662020,150425180,261449860,213531210,150572780,130571250,122663420,211812860,174757430,145173190,119044990,96784275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxNradial,266.4,414441090,296602780,263802110,198448150,174028320,326040570,254104250,207445850,157959310,130328250,225663200,205687170,162699340,127103850,97696377,186429870,142788730,112558750,79156298,81052893,129972500,122020640,89157568,76074913,56645783,371209000,330315890,261058700,185079770,144109100,329068720,250395160,234513490,153933690,136647360,227590080,205081850,154682870,117127370,92727595,176073350,142126770,118733990,98615460,74977258,128261040,99772531,85398807,75556970,64153768,401233500,309535980,260861130,193319850,154264060,306985210,247128190,203051010,157385930,110086520,219288240,184851980,141221620,110863970,100292920,173097970,148242330,103327870,81231263,81550081,133548720,101099760,91385254,79455917,60803878,426272350,314514380,241014160,203688390,150648960,287442960,243341770,193114820,155017710,125827500,240401550,200769540,151203850,113579480,96105355,162492090,143099410,96650436,92507942,65669374,144212490,112014270,85279976,71802109,52433008,412798970,285965500,249794200,184537700,162624730,300794730,257704570,191702210,165300680,116955170,243319770,184545210,145457060,115554810,99515942,161803550,130553290,92367089,83111699,73022280,125722420,102596550,82397351,72877657,59058024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
