1

                                             * * * * * * * * *  L H S  * * * * * * * * *

                                             LATIN HYPERCUBE AND RANDOM SAMPLING PROGRAM

                                             * * * * * * * * * * * * * * * * * * * * * *


    Run on  5/13/19 at 13:31:38.56 with LHS Version: 2.30 Release 1, Compiled May 31, 2001        


0    Pecos::LHSDriver

    Random Seed =      569632

    Number of Variables =   1

    Number of Observations =  240
0   The sample was written to the file: LHS_samples.out
0   Input was read from the file: 
0   The sample input vectors will be printed along with their corresponding ranks.
0   Histograms of the actual sample will be plotted for each input variable.
0   The correlation matrices (raw data and rank correlations) will be printed.
1

    Pecos::LHSDriver                                                                                                             

    VARIABLE  DISTRIBUTION          RANGE            LABEL
0       1     BOUNDED NOR   0.651     TO  0.881                                                        
                           MU =  0.766                   SIGMA =  3.830E-02
1Pecos::LHSDriver                                                                                                             
0LATIN HYPERCUBE SAMPLE INPUT VECTORS

 RUN NO. X(1)
0    1 0.787    
0    2 0.771    
0    3 0.769    
0    4 0.818    
0    5 0.846    
0    6 0.799    
0    7 0.762    
0    8 0.820    
0    9 0.814    
0   10 0.744    
0   11 0.736    
0   12 0.780    
0   13 0.743    
0   14 0.729    
0   15 0.694    
0   16 0.779    
0   17 0.739    
0   18 0.824    
0   19 0.816    
0   20 0.749    
0   21 0.806    
0   22 0.746    
0   23 0.834    
0   24 0.756    
0   25 0.808    
0   26 0.778    
0   27 0.767    
0   28 0.759    
0   29 0.777    
0   30 0.811    
0   31 0.772    
0   32 0.766    
0   33 0.735    
0   34 0.762    
0   35 0.771    
0   36 0.837    
0   37 0.805    
0   38 0.660    
0   39 0.766    
0   40 0.729    
0   41 0.782    
0   42 0.753    
0   43 0.781    
0   44 0.726    
0   45 0.809    
0   46 0.828    
0   47 0.793    
0   48 0.826    
0   49 0.750    
0   50 0.710    
0   51 0.799    
0   52 0.764    
0   53 0.758    
0   54 0.738    
0   55 0.728    
0   56 0.809    
0   57 0.797    
0   58 0.760    
0   59 0.671    
0   60 0.844    
0   61 0.754    
0   62 0.800    
0   63 0.779    
0   64 0.784    
0   65 0.731    
0   66 0.796    
0   67 0.770    
0   68 0.737    
0   69 0.765    
0   70 0.778    
0   71 0.748    
0   72 0.807    
0   73 0.721    
0   74 0.741    
0   75 0.784    
0   76 0.769    
0   77 0.785    
0   78 0.814    
0   79 0.804    
0   80 0.726    
0   81 0.774    
0   82 0.830    
0   83 0.774    
0   84 0.775    
0   85 0.788    
0   86 0.750    
0   87 0.722    
0   88 0.786    
0   89 0.813    
0   90 0.792    
0   91 0.749    
0   92 0.720    
0   93 0.754    
0   94 0.777    
0   95 0.776    
0   96 0.762    
0   97 0.749    
0   98 0.757    
0   99 0.751    
0  100 0.790    
0  101 0.761    
0  102 0.841    
0  103 0.763    
0  104 0.747    
0  105 0.720    
0  106 0.759    
0  107 0.689    
0  108 0.780    
0  109 0.712    
0  110 0.757    
0  111 0.772    
0  112 0.783    
0  113 0.817    
0  114 0.722    
0  115 0.822    
0  116 0.777    
0  117 0.802    
0  118 0.678    
0  119 0.733    
0  120 0.697    
0  121 0.825    
0  122 0.736    
0  123 0.732    
0  124 0.793    
0  125 0.707    
0  126 0.685    
0  127 0.756    
